"Timestamp","Age group","Gender","Medium of School ","How difficult is it for you to understanding English conversation?
ఆంగ్ల సంభాషణను అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult do you find it to speak English confidently while discussing passages or articles?
ప్యాసేజ్‌లు లేదా వ్యాసాల గురించి మాట్లాడేటప్పుడు, ఆత్మవిశ్వాసంతో ఇంగ్లీష్ మాట్లాడటం మీకు ఎంత కష్టం?","How difficult is it for you to write sentences in English?
మీకు ఆంగ్లంలో వాక్యాలు రాయడం ఎంత కష్టం?","How difficult is it for you to read and understand English passages or articles?
ఇంగ్లీష్ పేరాగ్రాఫ్‌లు లేదా వ్యాసాలను చదివి అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult is it for you to use English due to the influence of your mother tongue (Telugu)?
మీ మాతృభాష (తెలుగు) ప్రభావం వల్ల మీకు ఇంగ్లీష్ ఉపయోగించడం ఎంత కష్టంగా ఉంటుంది?","How difficult is it for you to understand lectures in English?
ఇంగ్లీషులో ఉపన్యాసాలను అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult is it for you to watch English movies without subtitles?
సబ్‌టైటిల్స్ లేకుండా ఇంగ్లీష్ సినిమాలు చూడటం మీకు ఎంత కష్టం?","How difficult is it for you to watch English movies even with subtitles?
సబ్‌టైటిల్స్‌తో చూసినప్పటికీ, మీకు ఇంగ్లీష్ సినిమాలు చూడటం ఎంత కష్టంగా ఉంటుంది?","How do you feel while learning English?
ఇంగ్లీష్ నేర్చుకునేటప్పుడు మీకు ఎలా అనిపిస్తుంది?","As a Telugu medium student, how difficult was it for you to switch to an English-Medium Curriculum in higher studies?
తెలుగు మాధ్యమంలో చదివిన విద్యార్థిగా, ఉన్నత విద్యలో ఆంగ్ల మాధ్యమ పాఠ్య ప్రణాళికకు మారడం మీకు ఎంత కష్టంగా అనిపించింది?","How difficult do you find it to work in other Indian states due to language differences?
భాషా భేదాల కారణంగా ఇతర భారతీయ రాష్ట్రాలలో పని చేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to work in other countries due to language differences?
భాషా భేదాల కారణంగా ఇతర దేశాలలో పనిచేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to study in other Indian states or other countries due to language differences?
భాషా భేదాల కారణంగా ఇతర భారతీయ రాష్ట్రాలలో లేదా ఇతర దేశాలలో చదువుకోవడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to make friends who have different native languages?
వేర్వేరు మాతృభాషలు ఉన్నవారితో స్నేహం చేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?"
"2026/01/25 12:30:09 PM GMT+5:30","20-25","Male","Both","3","2","3","2","2","2","2","2","2","2","3","2","3","2"
"2026/01/25 12:42:13 PM GMT+5:30","20-25","Female","English medium","1","1","1","1","2","1","1","2","1","1","2","2","3","5"
"2026/01/25 12:46:43 PM GMT+5:30","20-25","Male","English medium","4","3","4","4","3","3","3","3","3","3","3","3","3","3"
"2026/01/25 12:51:25 PM GMT+5:30","20-25","Male","English medium","2","3","2","2","3","2","2","3","3","3","4","4","3","4"
"2026/01/25 12:53:42 PM GMT+5:30","20-25","Male","English medium","2","3","1","1","2","3","3","1","2","2","4","5","5","4"
"2026/01/25 1:00:04 PM GMT+5:30","20-25","Male","English medium","2","3","2","2","3","2","3","1","3","3","3","4","4","1"
"2026/01/25 1:05:56 PM GMT+5:30","20-25","Male","English medium","1","2","2","1","2","1","3","1","2","1","1","3","1","2"
"2026/01/25 1:31:55 PM GMT+5:30","20-25","Male","English medium","2","3","1","2","2","2","4","2","2","3","2","2","2","2"
"2026/01/25 2:09:21 PM GMT+5:30","20-25","Male","English medium","4","3","2","3","2","1","3","2","3","4","2","3","2","2"
"2026/01/25 2:10:56 PM GMT+5:30","20-25","Female","English medium","2","3","1","2","2","2","2","2","2","2","3","3","3","2"
"2026/01/25 2:16:54 PM GMT+5:30","20-25","Male","English medium","4","3","2","4","3","4","3","2","3","4","3","4","4","4"
"2026/01/25 2:20:49 PM GMT+5:30","20-25","Male","English medium","1","2","1","1","2","1","2","1","2","3","4","5","4","3"
"2026/01/25 2:24:58 PM GMT+5:30","15-19","Female","English medium","2","3","3","2","4","3","3","2","3","4","4","4","3","2"
"2026/01/25 2:34:56 PM GMT+5:30","20-25","Male","Both","1","2","2","2","1","2","1","1","1","1","5","5","2","2"
"2026/01/25 2:39:58 PM GMT+5:30","15-19","Male","English medium","3","3","3","3","4","3","3","3","3","3","3","3","3","3"
"2026/01/25 3:00:46 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","2","1","1","1","1","1","1","1"
"2026/01/25 3:19:59 PM GMT+5:30","20-25","Male","Both","2","3","2","1","1","3","3","3","2","4","2","2","1","4"
"2026/01/25 3:20:07 PM GMT+5:30","20-25","Male","English medium","3","3","3","2","2","2","2","1","5","1","2","3","3","3"
"2026/01/25 3:21:29 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","4","1","1","1","1","1","1","1","1"
"2026/01/25 3:21:47 PM GMT+5:30","20-25","Male","English medium","1","1","2","1","2","1","2","1","1","1","3","3","3","3"
"2026/01/25 3:22:35 PM GMT+5:30","15-19","Male","English medium","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/01/25 3:24:52 PM GMT+5:30","20-25","Male","English medium","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/01/25 3:25:14 PM GMT+5:30","Above 25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/25 3:27:04 PM GMT+5:30","20-25","Male","English medium","2","1","2","2","2","2","2","1","1","5","3","3","2","2"
"2026/01/25 3:30:45 PM GMT+5:30","20-25","Male","English medium","2","2","1","1","3","1","2","1","2","2","3","3","3","2"
"2026/01/25 3:40:28 PM GMT+5:30","20-25","Male","English medium","5","5","5","5","5","5","5","5","4","5","5","5","5","5"
"2026/01/25 3:42:21 PM GMT+5:30","under 10","Male","English medium","3","2","4","4","4","2","1","2","3","5","4","4","3","2"
"2026/01/25 3:43:59 PM GMT+5:30","20-25","Male","English medium","1","2","2","1","1","1","2","1","2","3","2","2","2","2"
"2026/01/25 4:07:35 PM GMT+5:30","15-19","Female","English medium","3","4","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/01/25 4:08:37 PM GMT+5:30","15-19","Female","English medium","3","2","2","1","3","2","2","3","3","3","4","4","4","4"
"2026/01/25 4:12:16 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/25 4:21:43 PM GMT+5:30","20-25","Male","Telugu medium","3","3","2","1","3","2","3","4","4","5","2","4","3","4"
"2026/01/25 4:55:21 PM GMT+5:30","20-25","Male","English medium","5","3","3","3","4","4","4","3","3","4","4","4","3","4"
"2026/01/25 4:57:00 PM GMT+5:30","under 10","Female","English medium","3","3","3","3","3","3","3","3","4","4","2","2","3","3"
"2026/01/25 5:09:02 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","2","1","1","1","2","2","2","2"
"2026/01/25 6:50:21 PM GMT+5:30","20-25","Male","English medium","1","2","1","1","3","2","1","1","2","2","3","2","2","1"
"2026/01/25 7:27:29 PM GMT+5:30","15-19","Female","English medium","2","2","2","2","2","2","2","3","2","3","3","4","3","2"
"2026/01/25 7:28:08 PM GMT+5:30","15-19","Female","English medium","3","2","2","2","3","4","3","3","4","4","3","3","4","4"
"2026/01/25 7:28:54 PM GMT+5:30","15-19","Female","English medium","2","3","4","3","4","3","4","4","3","3","2","3","3","3"
"2026/01/25 7:40:42 PM GMT+5:30","10-14","Male","English medium","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/01/25 8:59:05 PM GMT+5:30","20-25","Male","Both","2","4","3","3","3","4","3","3","2","4","4","3","5","4"
"2026/01/25 9:00:56 PM GMT+5:30","20-25","Female","Both","1","3","1","1","2","1","2","2","1","1","4","4","3","5"
"2026/01/25 9:04:06 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/25 9:26:25 PM GMT+5:30","20-25","Female","Telugu medium","2","3","4","3","4","4","3","4","2","5","5","4","3","3"
"2026/01/25 10:17:42 PM GMT+5:30","15-19","Female","English medium","2","3","1","1","2","1","2","1","2","3","3","2","3","4"
"2026/01/25 10:38:50 PM GMT+5:30","20-25","Female","English medium","3","3","3","3","3","3","3","2","2","2","3","3","3","2"
"2026/01/25 10:56:23 PM GMT+5:30","20-25","Female","Telugu medium","3","4","3","3","3","3","4","3","4","5","4","3","3","3"
"2026/01/25 11:00:23 PM GMT+5:30","20-25","Female","English medium","1","4","1","1","4","1","3","1","3","3","3","3","3","3"
"2026/01/26 6:55:42 AM GMT+5:30","15-19","Male","English medium","1","1","2","2","3","2","2","2","1","1","1","1","1","1"
"2026/01/26 8:00:13 AM GMT+5:30","20-25","Male","English medium","1","2","1","1","2","1","2","1","4","1","1","1","1","2"
"2026/01/26 8:56:22 AM GMT+5:30","20-25","Male","English medium","4","4","2","4","5","5","5","5","5","5","5","5","5","5"
"2026/01/26 9:03:29 AM GMT+5:30","20-25","Female","English medium","2","3","2","1","3","2","4","3","3","3","3","3","3","4"
"2026/01/26 9:17:28 AM GMT+5:30","Above 25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/26 9:19:57 AM GMT+5:30","20-25","Male","English medium","1","3","1","1","1","1","2","1","5","1","2","1","1","1"
"2026/01/26 9:24:28 AM GMT+5:30","20-25","Male","English medium","3","1","1","1","3","2","3","1","1","2","3","3","3","3"
"2026/01/26 9:26:31 AM GMT+5:30","20-25","Female","Telugu medium","2","2","1","1","2","2","3","2","1","2","3","1","3","1"
"2026/01/26 9:42:47 AM GMT+5:30","20-25","Female","English medium","2","2","2","3","3","3","4","3","3","4","4","4","4","2"
"2026/01/26 9:50:11 AM GMT+5:30","20-25","Male","Telugu medium","1","2","2","1","3","2","2","2","1","4","2","3","2","2"
"2026/01/26 9:55:07 AM GMT+5:30","20-25","Male","Telugu medium","1","2","3","3","4","2","5","3","2","2","2","3","4","2"
"2026/01/26 9:57:49 AM GMT+5:30","20-25","Male","Telugu medium","4","5","3","4","4","4","4","5","4","4","5","4","4","3"
"2026/01/26 10:22:23 AM GMT+5:30","20-25","Male","English medium","3","2","3","3","2","3","2","5","3","3","3","3","2","3"
"2026/01/26 1:20:45 PM GMT+5:30","20-25","Female","English medium","3","3","2","2","3","2","3","2","4","3","3","3","4","4"
"2026/01/26 4:32:26 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","5","1","1","1","1","2"
"2026/01/26 4:44:55 PM GMT+5:30","15-19","Male","English medium","1","2","2","2","2","2","3","2","3","1","4","4","4","3"
"2026/01/26 6:06:04 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","3","1","2","2","4","4","3","2"
"2026/01/26 6:19:44 PM GMT+5:30","20-25","Male","English medium","2","2","2","1","2","2","3","1","3","2","1","2","2","2"
"2026/01/26 6:42:29 PM GMT+5:30","15-19","Male","English medium","2","2","1","2","1","1","4","2","1","3","1","3","2","2"
"2026/01/26 7:58:49 PM GMT+5:30","20-25","Female","English medium","1","2","2","1","3","2","4","3","2","3","3","3","4","3"
"2026/01/26 8:06:34 PM GMT+5:30","15-19","Male","English medium","3","2","2","2","3","2","3","3","3","4","3","3","3","2"
"2026/01/26 8:09:29 PM GMT+5:30","20-25","Male","English medium","3","3","1","1","3","1","2","1","1","3","1","1","1","2"
"2026/01/26 8:09:35 PM GMT+5:30","15-19","Male","English medium","2","3","2","2","2","1","2","1","2","1","2","2","2","1"
"2026/01/26 8:10:32 PM GMT+5:30","20-25","Male","English medium","2","2","3","2","3","2","3","2","3","2","3","3","2","2"
"2026/01/26 8:14:34 PM GMT+5:30","20-25","Male","English medium","1","3","5","3","2","4","1","2","3","4","5","5","4","3"
"2026/01/26 8:33:08 PM GMT+5:30","20-25","Male","English medium","2","2","1","1","2","1","3","2","4","4","2","2","3","3"
"2026/01/26 8:42:27 PM GMT+5:30","20-25","Male","English medium","5","3","4","3","4","3","5","3","2","4","4","4","4","4"
"2026/01/26 8:42:27 PM GMT+5:30","20-25","Male","English medium","5","5","5","5","5","5","5","4","5","5","5","5","5","5"
"2026/01/26 8:46:09 PM GMT+5:30","20-25","Male","English medium","2","3","1","1","3","1","3","1","3","4","3","3","3","2"
"2026/01/26 8:57:11 PM GMT+5:30","20-25","Male","English medium","3","2","2","2","4","3","3","2","2","3","3","3","2","2"
"2026/01/26 9:00:11 PM GMT+5:30","15-19","Male","English medium","5","5","5","4","4","4","5","5","2","5","5","5","4","2"
"2026/01/26 9:12:08 PM GMT+5:30","15-19","Male","English medium","3","3","3","3","3","3","2","4","3","4","2","5","3","2"
"2026/01/26 9:12:39 PM GMT+5:30","15-19","Male","English medium","3","4","3","3","3","3","5","3","3","3","3","3","3","3"
"2026/01/26 9:14:44 PM GMT+5:30","15-19","Male","English medium","3","3","4","3","3","3","3","3","3","3","3","3","3","3"
"2026/01/26 9:15:55 PM GMT+5:30","20-25","Male","English medium","3","3","3","3","3","3","3","3","4","4","2","1","3","3"
"2026/01/26 9:16:13 PM GMT+5:30","15-19","Male","Both","2","4","3","3","4","3","3","2","4","4","4","4","4","4"
"2026/01/26 9:16:37 PM GMT+5:30","15-19","Male","English medium","3","4","3","3","4","4","5","2","4","4","4","4","4","4"
"2026/01/26 9:16:51 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","2","1","4","1","1","2","2","2"
"2026/01/26 9:18:42 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/26 9:20:22 PM GMT+5:30","15-19","Male","English medium","4","3","4","5","3","4","2","4","4","1","3","3","3","2"
"2026/01/26 9:21:11 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","3","2","1"
"2026/01/26 9:21:51 PM GMT+5:30","15-19","Male","Both","1","4","3","3","1","5","4","3","2","1","1","1","2","3"
"2026/01/26 9:22:40 PM GMT+5:30","20-25","Male","English medium","1","4","3","2","3","2","4","1","5","5","3","5","5","5"
"2026/01/26 9:25:29 PM GMT+5:30","15-19","Male","Both","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/26 9:25:33 PM GMT+5:30","10-14","Male","English medium","1","1","1","1","2","1","1","1","2","1","1","2","1","1"
"2026/01/26 9:26:07 PM GMT+5:30","15-19","Female","English medium","1","2","1","1","2","2","4","2","2","5","4","4","4","3"
"2026/01/26 9:26:45 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","5","1","3","3","2","4"
"2026/01/26 9:26:54 PM GMT+5:30","15-19","Male","Both","1","2","1","2","2","4","1","1","3","1","1","3","4","2"
"2026/01/26 9:34:47 PM GMT+5:30","20-25","Male","Both","1","2","1","1","1","1","1","1","3","3","2","2","2","3"
"2026/01/26 9:35:24 PM GMT+5:30","15-19","Male","English medium","1","4","1","1","3","1","1","1","1","1","3","3","2","3"
"2026/01/26 9:35:56 PM GMT+5:30","15-19","Female","English medium","1","3","1","1","3","1","2","1","5","1","2","4","3","2"
"2026/01/26 9:36:22 PM GMT+5:30","15-19","Female","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/26 9:36:29 PM GMT+5:30","15-19","Female","English medium","1","1","2","2","3","5","3","4","1","3","1","1","2","1"
"2026/01/26 9:38:54 PM GMT+5:30","15-19","Female","English medium","1","2","1","1","3","1","2","2","1","1","3","2","3","3"
"2026/01/26 9:40:01 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/26 9:40:56 PM GMT+5:30","15-19","Female","English medium","1","2","1","1","1","1","2","2","1","1","1","1","2","2"
"2026/01/26 9:41:45 PM GMT+5:30","15-19","Female","English medium","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2026/01/26 9:42:06 PM GMT+5:30","15-19","Female","English medium","1","3","2","3","3","3","3","3","3","3","3","3","3","3"
"2026/01/26 9:42:45 PM GMT+5:30","15-19","Male","English medium","2","2","2","1","3","2","4","3","2","3","2","3","3","2"
"2026/01/26 9:43:58 PM GMT+5:30","15-19","Male","English medium","2","3","2","2","2","2","3","2","2","2","2","3","2","3"
"2026/01/26 9:45:44 PM GMT+5:30","10-14","Male","English medium","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/01/26 9:51:24 PM GMT+5:30","20-25","Female","Both","2","2","2","2","2","2","2","2","2","3","3","3","3","3"
"2026/01/26 9:53:58 PM GMT+5:30","20-25","Male","English medium","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2026/01/26 9:55:41 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","3","1","2","1","3","3","1","2","1","3"
"2026/01/26 10:05:16 PM GMT+5:30","15-19","Female","Telugu medium","4","4","4","4","4","4","5","5","4","4","4","4","4","4"
"2026/01/26 10:06:33 PM GMT+5:30","15-19","Female","English medium","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2026/01/26 10:06:38 PM GMT+5:30","20-25","Female","English medium","2","3","4","4","3","3","3","3","5","3","3","3","3","3"
"2026/01/26 10:06:44 PM GMT+5:30","15-19","Female","English medium","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/01/26 10:09:25 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/26 10:13:46 PM GMT+5:30","15-19","Female","English medium","1","2","3","2","3","3","4","3","3","3","4","4","4","3"
"2026/01/26 10:14:24 PM GMT+5:30","20-25","Male","English medium","3","2","3","3","3","4","2","2","3","3","2","2","2","2"
"2026/01/26 10:24:51 PM GMT+5:30","20-25","Female","Telugu medium","4","4","4","4","4","5","2","3","4","4","4","3","3","3"
"2026/01/26 10:25:49 PM GMT+5:30","15-19","Male","Both","3","3","3","2","5","3","5","5","5","5","5","3","2","5"
"2026/01/26 10:31:16 PM GMT+5:30","20-25","Female","English medium","2","3","1","2","2","2","2","1","5","3","1","3","1","3"
"2026/01/26 10:47:58 PM GMT+5:30","15-19","Female","English medium","3","2","2","2","2","3","2","1","3","3","2","3","3","3"
"2026/01/26 10:59:39 PM GMT+5:30","15-19","Female","English medium","3","2","2","2","1","1","2","3","3","3","2","3","2","2"
"2026/01/26 11:13:11 PM GMT+5:30","15-19","Male","English medium","1","1","2","2","2","3","4","2","2","3","4","4","3","3"
"2026/01/26 11:21:48 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","1","1","4","3","3","2"
"2026/01/26 11:37:25 PM GMT+5:30","20-25","Male","English medium","4","4","4","3","5","3","5","4","3","5","5","5","4","4"
"2026/01/26 11:41:46 PM GMT+5:30","15-19","Female","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/27 12:23:02 AM GMT+5:30","15-19","Male","English medium","1","3","2","1","1","1","2","1","2","1","3","3","3","4"
"2026/01/27 2:24:39 AM GMT+5:30","15-19","Male","English medium","3","3","3","3","3","3","3","3","3","3","3","4","3","3"
"2026/01/27 3:54:37 AM GMT+5:30","20-25","Female","English medium","2","2","1","3","2","2","1","1","2","2","3","3","2","2"
"2026/01/27 8:23:43 AM GMT+5:30","20-25","Male","English medium","1","3","2","2","3","1","2","1","5","2","1","4","4","4"
